regime,method,seed,system,sd_nmae,sd_nrmse
fewshot_0.05,moirai,71,steel_industry,0.4708995641151962,0.882183818230148
fewshot_0.05,moirai,101,building_energy,0.2510438206160083,0.4222284757039567
fewshot_0.05,moirai,101,hydraulic,0.11010277543527083,0.20725779793234825
fewshot_0.05,moirai,101,metropt,0.4780076893314122,1.1934329836585873
fewshot_0.05,moirai,101,pmsm,0.04624445808902914,0.1303100941834104
fewshot_0.05,moirai,101,steel_industry,0.4707128477238934,0.8814510273891847
fewshot_0.05,gaugeformer_v13,17,building_energy,0.24804461523528848,0.41736953650525777
fewshot_0.05,gaugeformer_v13,17,hydraulic,0.10620948323387946,0.20450316070015306
fewshot_0.05,gaugeformer_v13,17,metropt,0.47118418993486705,1.193838411204609
fewshot_0.05,gaugeformer_v13,17,pmsm,0.04589282144897159,0.1296016893164372
fewshot_0.05,gaugeformer_v13,17,steel_industry,0.4694119012356125,0.8865786577766711
fewshot_0.05,gaugeformer_v13,29,building_energy,0.2474589988907743,0.4164730324608919
fewshot_0.05,gaugeformer_v13,29,hydraulic,0.1063800197591343,0.20478611720130566
fewshot_0.05,gaugeformer_v13,29,metropt,0.47209521268499505,1.1943133663816743
fewshot_0.05,gaugeformer_v13,29,pmsm,0.04586470551935873,0.12958563557827354
fewshot_0.05,gaugeformer_v13,29,steel_industry,0.46854644298736947,0.8860565830441729
fewshot_0.05,gaugeformer_v13,43,building_energy,0.24748453871004708,0.41664906119253786
fewshot_0.05,gaugeformer_v13,43,hydraulic,0.10623108911057023,0.2045910566227115
fewshot_0.05,gaugeformer_v13,43,metropt,0.4706364097435996,1.1926937752288331
fewshot_0.05,gaugeformer_v13,43,pmsm,0.045825333292878,0.1294158181216092
fewshot_0.05,gaugeformer_v13,43,steel_industry,0.46854376391011554,0.8854960250504165
fewshot_0.05,gaugeformer_v13,71,building_energy,0.24767872643269298,0.4170137837956579
fewshot_0.05,gaugeformer_v13,71,hydraulic,0.10611218661378412,0.20450832930828852
fewshot_0.05,gaugeformer_v13,71,metropt,0.4732000704344851,1.1934061752910101
fewshot_0.05,gaugeformer_v13,71,pmsm,0.045821410481247354,0.12947920279450806
fewshot_0.05,gaugeformer_v13,71,steel_industry,0.468694045788909,0.8854749647767957
fewshot_0.05,gaugeformer_v13,101,building_energy,0.24757394723744058,0.4166862367274051
fewshot_0.05,gaugeformer_v13,101,hydraulic,0.10622685225617134,0.20454185410742898
fewshot_0.05,gaugeformer_v13,101,metropt,0.470694557324708,1.1938550913971
fewshot_0.05,gaugeformer_v13,101,pmsm,0.045825319805182764,0.12943485482237763
fewshot_0.05,gaugeformer_v13,101,steel_industry,0.46868725705503306,0.8852974914274571
fewshot_0.05,timer_xl,17,building_energy,0.2398544595943031,0.3840825354168577
fewshot_0.05,timer_xl,17,hydraulic,0.110873641799345,0.1901217134352215
fewshot_0.05,timer_xl,17,metropt,0.5140885854053444,1.0954127923295314
fewshot_0.05,timer_xl,17,pmsm,0.046360227804888986,0.12644164545986736
fewshot_0.05,timer_xl,17,steel_industry,0.4879647957170158,0.7338890742334498
fewshot_0.05,timer_xl,29,building_energy,0.24014707890820322,0.38326643085632983
fewshot_0.05,timer_xl,29,hydraulic,0.10901246190515207,0.18777735505541637
fewshot_0.05,timer_xl,29,metropt,0.5029617204200195,1.096800159012238
fewshot_0.05,timer_xl,29,pmsm,0.046164318572255926,0.12636314632745504
fewshot_0.05,timer_xl,29,steel_industry,0.48766115559192436,0.7333610874376378
fewshot_0.05,timer_xl,43,building_energy,0.24010250253635296,0.38347476699462113
fewshot_0.05,timer_xl,43,hydraulic,0.11071891213137328,0.18799491558249762
fewshot_0.05,timer_xl,43,metropt,0.5038634772930733,1.0893682475524957
fewshot_0.05,timer_xl,43,pmsm,0.04635434796742057,0.12669579151570987
fewshot_0.05,timer_xl,43,steel_industry,0.48532437735246337,0.732847394763579
fewshot_0.05,timer_xl,71,building_energy,0.24052302569144146,0.3836289576822139
fewshot_0.05,timer_xl,71,hydraulic,0.11334773954508595,0.19305622000401665
fewshot_0.05,timer_xl,71,metropt,0.5105496584808261,1.0922143842183043
fewshot_0.05,timer_xl,71,pmsm,0.046184750203989794,0.12636053904165764
fewshot_0.05,timer_xl,71,steel_industry,0.4897308959313113,0.734565564273707
fewshot_0.05,timer_xl,101,building_energy,0.24199115063164858,0.38684157533039454
fewshot_0.05,timer_xl,101,hydraulic,0.10925585075896838,0.1871787038639947
fewshot_0.05,timer_xl,101,metropt,0.5092463616926646,1.089910361161362
fewshot_0.05,timer_xl,101,pmsm,0.046014432042183355,0.12607436798562502
