backbone,variant,seed,system,condition,replicate,sd_nmae,sd_nrmse,mae_relative_change,mean_sd_normalized_prediction_change,no_op_deletion
gtm,full,101,steel_industry,deletion_30,rep1,0.3518300779267779,0.6019078835531964,0.0,0.0,False
gtm,raw,101,steel_industry,deletion_50,rep1,0.36334424944962446,0.5887679572084389,0.0,0.0,False
gtm,full,101,steel_industry,deletion_50,rep1,0.3518300779267779,0.6019078835531964,0.0,0.0,False
gtm,raw,101,steel_industry,insertion_1,rep1,0.3633442495234032,0.5887679570731648,2.0305468417802786e-08,1.4286475013899236e-07,False
gtm,full,101,steel_industry,insertion_1,rep1,0.3518300777429227,0.6019078824592459,-5.225682109255558e-08,1.2179735058159224e-07,False
gtm,raw,101,steel_industry,insertion_4,rep1,0.3633442519739545,0.5887679635257544,6.947488584430062e-07,1.4621460165827128e-07,False
gtm,full,101,steel_industry,insertion_4,rep1,0.3518300810355542,0.6019078891239187,8.836016363034105e-07,1.2488835883779367e-07,False
gtm,raw,101,steel_industry,permutation,rep2,0.36334424944962446,0.5887679572084389,0.0,0.0,False
gtm,full,101,steel_industry,permutation,rep2,0.3518300779267779,0.6019078835531964,0.0,0.0,False
gtm,raw,101,steel_industry,deletion_30,rep2,0.36334424944962446,0.5887679572084389,0.0,0.0,False
gtm,full,101,steel_industry,deletion_30,rep2,0.3518300779267779,0.6019078835531964,0.0,0.0,False
gtm,raw,101,steel_industry,deletion_50,rep2,0.36334424944962446,0.5887679572084389,0.0,0.0,False
gtm,full,101,steel_industry,deletion_50,rep2,0.3518300779267779,0.6019078835531964,0.0,0.0,False
gtm,raw,101,steel_industry,insertion_1,rep2,0.3633442495234032,0.5887679570731648,2.0305468417802786e-08,1.4286475013899236e-07,False
gtm,full,101,steel_industry,insertion_1,rep2,0.3518300777429227,0.6019078824592459,-5.225682109255558e-08,1.2179735058159224e-07,False
gtm,raw,101,steel_industry,insertion_4,rep2,0.3633442519739545,0.5887679635257544,6.947488584430062e-07,1.4621460165827128e-07,False
gtm,full,101,steel_industry,insertion_4,rep2,0.3518300810355542,0.6019078891239187,8.836016363034105e-07,1.2488835883779367e-07,False
gtm,raw,17,building_energy,reference,rep0,0.2728545830219898,0.41853150269622785,0.0,0.0,False
gtm,full,17,building_energy,reference,rep0,0.2610561909618736,0.41779183792418,0.0,0.0,False
gtm,raw,17,building_energy,legal_gauge_direct,rep0,0.3052739395589019,0.44297110582147514,11.881551036399273,0.06755842600018086,False
gtm,full,17,building_energy,legal_gauge_direct,rep0,0.2771345193568868,0.4258174229186844,6.158953111118293,0.04048143847096466,False
gtm,raw,17,building_energy,legal_gauge_canonical_preprocessing,rep0,0.272854628977211,0.4185314786040193,1.6842385686111072e-05,2.2812443845031917e-06,False
gtm,full,17,building_energy,legal_gauge_canonical_preprocessing,rep0,0.2610562269519141,0.41779179801417776,1.3786319486008836e-05,3.373158443830287e-06,False
gtm,raw,17,building_energy,permutation,rep0,0.2728545830219898,0.41853150269622785,0.0,0.0,False
gtm,full,17,building_energy,permutation,rep0,0.2610561909618736,0.41779183792418,0.0,0.0,False
gtm,raw,17,building_energy,deletion_30,rep0,0.2728545830219898,0.41853150269622785,0.0,0.0,True
gtm,full,17,building_energy,deletion_30,rep0,0.2610561909618736,0.41779183792418,0.0,0.0,True
gtm,raw,17,building_energy,deletion_50,rep0,0.2728545830219898,0.41853150269622785,0.0,0.0,True
gtm,full,17,building_energy,deletion_50,rep0,0.2610561909618736,0.41779183792418,0.0,0.0,True
gtm,raw,17,building_energy,insertion_1,rep0,0.2728545830219898,0.41853150269622785,0.0,0.0,False
gtm,full,17,building_energy,insertion_1,rep0,0.2610561909618736,0.41779183792418,0.0,0.0,False
gtm,raw,17,building_energy,insertion_4,rep0,0.2728546013024275,0.41853154420338845,6.699699706125273e-06,4.4248652701199265e-07,False
gtm,full,17,building_energy,insertion_4,rep0,0.2610562059044018,0.417791870672238,5.723874307861365e-06,2.710961290934561e-07,False
gtm,raw,17,building_energy,permutation,rep1,0.2728545830219898,0.41853150269622785,0.0,0.0,False
gtm,full,17,building_energy,permutation,rep1,0.2610561909618736,0.41779183792418,0.0,0.0,False
gtm,raw,17,building_energy,deletion_30,rep1,0.2728545830219898,0.41853150269622785,0.0,0.0,True
gtm,full,17,building_energy,deletion_30,rep1,0.2610561909618736,0.41779183792418,0.0,0.0,True
gtm,raw,17,building_energy,deletion_50,rep1,0.2728545830219898,0.41853150269622785,0.0,0.0,True
gtm,full,17,building_energy,deletion_50,rep1,0.2610561909618736,0.41779183792418,0.0,0.0,True
gtm,raw,17,building_energy,insertion_1,rep1,0.2728545830219898,0.41853150269622785,0.0,0.0,False
gtm,full,17,building_energy,insertion_1,rep1,0.2610561909618736,0.41779183792418,0.0,0.0,False
