system,seed,method,bin,step,sd_nmae
building_energy,17,moirai,15,18,0.3290324215887479
building_energy,17,moirai,15,19,0.3310208229121564
building_energy,17,moirai,15,20,0.33781806733763087
building_energy,17,moirai,15,21,0.353931636732182
building_energy,17,moirai,15,22,0.37891561875273017
building_energy,17,moirai,15,23,0.4130959825473385
building_energy,17,moirai,15,24,0.4309981752077071
building_energy,17,moirai,16,1,0.033203205850985955
building_energy,17,moirai,16,2,0.04018609763358002
building_energy,17,moirai,16,3,0.060079999447132756
building_energy,17,moirai,16,4,0.07431619096779102
building_energy,17,moirai,16,5,0.09599204090059346
building_energy,17,moirai,16,6,0.10468551056074707
building_energy,17,moirai,16,7,0.12350902733907197
building_energy,17,moirai,16,8,0.10536512023754716
building_energy,17,moirai,16,9,0.1472967126995526
building_energy,17,moirai,16,10,0.1356618618021074
building_energy,17,moirai,16,11,0.13767923619511396
building_energy,17,moirai,16,12,0.15861259754044624
building_energy,17,moirai,16,13,0.16190462952040616
building_energy,17,moirai,16,14,0.1897150451006994
building_energy,17,moirai,16,15,0.21719066673740453
building_energy,17,moirai,16,16,0.22462276247215313
building_energy,17,moirai,16,17,0.25085479469311267
building_energy,17,moirai,16,18,0.29334589106807246
building_energy,17,moirai,16,19,0.31668144728196324
building_energy,17,moirai,16,20,0.30321536559182866
building_energy,17,moirai,16,21,0.30084381392201365
building_energy,17,moirai,16,22,0.3061899306713577
building_energy,17,moirai,16,23,0.32073479388692666
building_energy,17,moirai,16,24,0.35086974211535815
building_energy,17,moirai,17,1,0.035218212282975656
building_energy,17,moirai,17,2,0.06955884466807677
building_energy,17,moirai,17,3,0.10278320411445943
building_energy,17,moirai,17,4,0.11007407165393496
building_energy,17,moirai,17,5,0.13084900370232105
building_energy,17,moirai,17,6,0.15155754600864516
building_energy,17,moirai,17,7,0.15037758406425666
building_energy,17,moirai,17,8,0.1619023641249349
building_energy,17,moirai,17,9,0.17442249175297236
building_energy,17,moirai,17,10,0.19226800616605214
building_energy,17,moirai,17,11,0.21124201162517214
building_energy,17,moirai,17,12,0.21487011246271606
building_energy,17,moirai,17,13,0.2234958821498375
building_energy,17,moirai,17,14,0.2276055050782902
building_energy,17,moirai,17,15,0.2512960573816855
building_energy,17,moirai,17,16,0.25700688128310245
building_energy,17,moirai,17,17,0.2690137958883953
building_energy,17,moirai,17,18,0.2754561645361878
building_energy,17,moirai,17,19,0.2731824347943518
building_energy,17,moirai,17,20,0.2828421527523536
building_energy,17,moirai,17,21,0.2976101928249849
building_energy,17,moirai,17,22,0.3085813671453719
building_energy,17,moirai,17,23,0.31808163033014775
building_energy,17,moirai,17,24,0.32979308118140965
building_energy,17,moirai,18,1,0.05336553049842648
building_energy,17,moirai,18,2,0.08464351817007747
building_energy,17,moirai,18,3,0.11037474317048855
building_energy,17,moirai,18,4,0.14761515955454466
building_energy,17,moirai,18,5,0.17390992268463734
building_energy,17,moirai,18,6,0.1739830464050452
building_energy,17,moirai,18,7,0.19068075693958583
building_energy,17,moirai,18,8,0.21956205851556437
building_energy,17,moirai,18,9,0.23931020314693346
building_energy,17,moirai,18,10,0.2558605017384561
building_energy,17,moirai,18,11,0.2522084630349712
building_energy,17,moirai,18,12,0.24735215254379192
building_energy,17,moirai,18,13,0.2687783152155985
building_energy,17,moirai,18,14,0.2846659992675509
building_energy,17,moirai,18,15,0.31902234681320524
building_energy,17,moirai,18,16,0.3249661227242019
building_energy,17,moirai,18,17,0.31958915573607166
building_energy,17,moirai,18,18,0.3362689024877772
building_energy,17,moirai,18,19,0.34070868174164415
building_energy,17,moirai,18,20,0.3611067754831856
building_energy,17,moirai,18,21,0.36309774840463366
building_energy,17,moirai,18,22,0.35396207099861066
building_energy,17,moirai,18,23,0.3584248430659847
building_energy,17,moirai,18,24,0.3688811458274135
building_energy,17,moirai,19,1,0.0454160482718707
building_energy,17,moirai,19,2,0.04671038520477965
building_energy,17,moirai,19,3,0.06624876417410605
building_energy,17,moirai,19,4,0.08705574391433919
building_energy,17,moirai,19,5,0.11734581619959475
building_energy,17,moirai,19,6,0.14064214869812167
building_energy,17,moirai,19,7,0.17375480692658346
building_energy,17,moirai,19,8,0.17895963852948935
building_energy,17,moirai,19,9,0.19364182471943628
building_energy,17,moirai,19,10,0.22263987864904417
building_energy,17,moirai,19,11,0.2571222267912641
building_energy,17,moirai,19,12,0.2597573027271826
building_energy,17,moirai,19,13,0.272554744679022
building_energy,17,moirai,19,14,0.2797213968948001
building_energy,17,moirai,19,15,0.2940055216057431
building_energy,17,moirai,19,16,0.3115065559604326
building_energy,17,moirai,19,17,0.3405557005283039
building_energy,17,moirai,19,18,0.3414081826886885
building_energy,17,moirai,19,19,0.3599400946973165
building_energy,17,moirai,19,20,0.3692223764690417
building_energy,17,moirai,19,21,0.3729622905735941
building_energy,17,moirai,19,22,0.4020866667530697
building_energy,17,moirai,19,23,0.42914188759025695
building_energy,17,moirai,19,24,0.4630361562860746
building_energy,17,moirai,20,1,0.0686382194911895
building_energy,17,moirai,20,2,0.08976393005103991
building_energy,17,moirai,20,3,0.1357095885796373
building_energy,17,moirai,20,4,0.15430533837294627
building_energy,17,moirai,20,5,0.16792829372389825
building_energy,17,moirai,20,6,0.1951540830933952
building_energy,17,moirai,20,7,0.21393162927870268
building_energy,17,moirai,20,8,0.23246640601409027
building_energy,17,moirai,20,9,0.2761365150710346
building_energy,17,moirai,20,10,0.31416751456478664
building_energy,17,moirai,20,11,0.3029285532281941
building_energy,17,moirai,20,12,0.3124996117007488
building_energy,17,moirai,20,13,0.3397062844338291
building_energy,17,moirai,20,14,0.3592919544479619
building_energy,17,moirai,20,15,0.37936081367956853
building_energy,17,moirai,20,16,0.3958350700651874
building_energy,17,moirai,20,17,0.44643450680708935
building_energy,17,moirai,20,18,0.4648785329900499
building_energy,17,moirai,20,19,0.4720356184304547
building_energy,17,moirai,20,20,0.45996471983572484
building_energy,17,moirai,20,21,0.5019017861839626
building_energy,17,moirai,20,22,0.5141387808254081
building_energy,17,moirai,20,23,0.5249941292034408
building_energy,17,moirai,20,24,0.5212520431993297
building_energy,17,gaugeformer_v13,1,1,0.03235453521050732
building_energy,17,gaugeformer_v13,1,2,0.06127016063492168
building_energy,17,gaugeformer_v13,1,3,0.08518682720452433
building_energy,17,gaugeformer_v13,1,4,0.1149969882637636
building_energy,17,gaugeformer_v13,1,5,0.1301566488690121
building_energy,17,gaugeformer_v13,1,6,0.14081159411068175
building_energy,17,gaugeformer_v13,1,7,0.1581419154447601
building_energy,17,gaugeformer_v13,1,8,0.16094420531648362
building_energy,17,gaugeformer_v13,1,9,0.18666097963845152
building_energy,17,gaugeformer_v13,1,10,0.2040078479244558
building_energy,17,gaugeformer_v13,1,11,0.21795899966590873
building_energy,17,gaugeformer_v13,1,12,0.22516617612186396
building_energy,17,gaugeformer_v13,1,13,0.2456853261718934
building_energy,17,gaugeformer_v13,1,14,0.24988567535034784
building_energy,17,gaugeformer_v13,1,15,0.2598900930653959
building_energy,17,gaugeformer_v13,1,16,0.2772019664780357
building_energy,17,gaugeformer_v13,1,17,0.3097380869513281
building_energy,17,gaugeformer_v13,1,18,0.32817294325803587
building_energy,17,gaugeformer_v13,1,19,0.3247208674701021
building_energy,17,gaugeformer_v13,1,20,0.3636252186877602
building_energy,17,gaugeformer_v13,1,21,0.39343635316312464
building_energy,17,gaugeformer_v13,1,22,0.4134291447453941
building_energy,17,gaugeformer_v13,1,23,0.40795913777911397
building_energy,17,gaugeformer_v13,1,24,0.440307357111304
building_energy,17,gaugeformer_v13,2,1,0.03234850085731007
building_energy,17,gaugeformer_v13,2,2,0.05421839786305646
building_energy,17,gaugeformer_v13,2,3,0.08201662096542117
building_energy,17,gaugeformer_v13,2,4,0.1250136846798284
building_energy,17,gaugeformer_v13,2,5,0.15537543557352473
building_energy,17,gaugeformer_v13,2,6,0.17181331553057289
building_energy,17,gaugeformer_v13,2,7,0.1896633144612233
building_energy,17,gaugeformer_v13,2,8,0.25288849139222674
building_energy,17,gaugeformer_v13,2,9,0.2589256962337758
building_energy,17,gaugeformer_v13,2,10,0.2833171159895685
building_energy,17,gaugeformer_v13,2,11,0.2906018063491087
building_energy,17,gaugeformer_v13,2,12,0.3066149285943948
building_energy,17,gaugeformer_v13,2,13,0.3211301128523694
building_energy,17,gaugeformer_v13,2,14,0.3388815658933745
building_energy,17,gaugeformer_v13,2,15,0.34868813145311656
building_energy,17,gaugeformer_v13,2,16,0.3590758064661502
building_energy,17,gaugeformer_v13,2,17,0.39341062014100053
building_energy,17,gaugeformer_v13,2,18,0.3967082435363936
building_energy,17,gaugeformer_v13,2,19,0.39931820676053525
building_energy,17,gaugeformer_v13,2,20,0.4053303933252644
building_energy,17,gaugeformer_v13,2,21,0.41196540609874605
building_energy,17,gaugeformer_v13,2,22,0.45615728547974654
building_energy,17,gaugeformer_v13,2,23,0.4586283070557879
building_energy,17,gaugeformer_v13,2,24,0.47133303081086575
building_energy,17,gaugeformer_v13,3,1,0.04117942064844892
building_energy,17,gaugeformer_v13,3,2,0.0708522744518583
building_energy,17,gaugeformer_v13,3,3,0.08756499262954173
building_energy,17,gaugeformer_v13,3,4,0.1169427362604701
building_energy,17,gaugeformer_v13,3,5,0.1561628254789376
building_energy,17,gaugeformer_v13,3,6,0.18596975356993156
building_energy,17,gaugeformer_v13,3,7,0.20439001138126078
building_energy,17,gaugeformer_v13,3,8,0.22658605205410243
building_energy,17,gaugeformer_v13,3,9,0.24501162779822852
building_energy,17,gaugeformer_v13,3,10,0.24827538056163065
building_energy,17,gaugeformer_v13,3,11,0.270229417352193
building_energy,17,gaugeformer_v13,3,12,0.29183914235039754
building_energy,17,gaugeformer_v13,3,13,0.29772042250677777
building_energy,17,gaugeformer_v13,3,14,0.3022614365713119
building_energy,17,gaugeformer_v13,3,15,0.316254806615425
building_energy,17,gaugeformer_v13,3,16,0.325500680944789
building_energy,17,gaugeformer_v13,3,17,0.3439677872007199
building_energy,17,gaugeformer_v13,3,18,0.3659350760137724
building_energy,17,gaugeformer_v13,3,19,0.39438301438587176
building_energy,17,gaugeformer_v13,3,20,0.40309808169884676
building_energy,17,gaugeformer_v13,3,21,0.42140359088406104
building_energy,17,gaugeformer_v13,3,22,0.4324718237894133
building_energy,17,gaugeformer_v13,3,23,0.4617397262530188
building_energy,17,gaugeformer_v13,3,24,0.49931726797517256
building_energy,17,gaugeformer_v13,4,1,0.03491578618944179
building_energy,17,gaugeformer_v13,4,2,0.058591371661125116
building_energy,17,gaugeformer_v13,4,3,0.0874431531050578
building_energy,17,gaugeformer_v13,4,4,0.08556633197797736
building_energy,17,gaugeformer_v13,4,5,0.1106493641226103
building_energy,17,gaugeformer_v13,4,6,0.13113748382947035
building_energy,17,gaugeformer_v13,4,7,0.1355795043647239
building_energy,17,gaugeformer_v13,4,8,0.15046446269511143
