system,seed,method,step,sd_nmae
building_energy,29,blend_history,8,0.18982633978448832
building_energy,29,blend_history,9,0.21456906274695683
building_energy,29,blend_history,10,0.2337548061994573
building_energy,29,blend_history,11,0.24716430804654288
building_energy,29,blend_history,12,0.255361401959136
building_energy,29,blend_history,13,0.26624520740136015
building_energy,29,blend_history,14,0.28044435267202916
building_energy,29,blend_history,15,0.2923529114631084
building_energy,29,blend_history,16,0.30477276219864113
building_energy,29,blend_history,17,0.31924204313093696
building_energy,29,blend_history,18,0.3337186062484428
building_energy,29,blend_history,19,0.34211068991501564
building_energy,29,blend_history,20,0.35453352612006656
building_energy,29,blend_history,21,0.36721632206519045
building_energy,29,blend_history,22,0.38401496855620226
building_energy,29,blend_history,23,0.39980545579940896
building_energy,29,blend_history,24,0.4139873663295791
building_energy,43,moirai,1,0.04506626435044896
building_energy,43,moirai,2,0.06676718893404891
building_energy,43,moirai,3,0.0907069779400931
building_energy,43,moirai,4,0.11262606790973513
building_energy,43,moirai,5,0.1366112319574926
building_energy,43,moirai,6,0.15130023260926206
building_energy,43,moirai,7,0.17005854274575008
building_energy,43,moirai,8,0.18681780787371177
building_energy,43,moirai,9,0.21138249321844488
building_energy,43,moirai,10,0.23262512966006454
building_energy,43,moirai,11,0.2452484431796832
building_energy,43,moirai,12,0.25250091655528845
building_energy,43,moirai,13,0.2639542174940278
building_energy,43,moirai,14,0.27732574458099174
building_energy,43,moirai,15,0.2905331783219375
building_energy,43,moirai,16,0.30258029455253455
building_energy,43,moirai,17,0.3342415842089715
building_energy,43,moirai,18,0.3464909010930281
building_energy,43,moirai,19,0.3558406402018256
building_energy,43,moirai,20,0.36793822876006327
building_energy,43,moirai,21,0.38198873939718825
building_energy,43,moirai,22,0.398501911521627
building_energy,43,moirai,23,0.4129874405914323
building_energy,43,moirai,24,0.42455134929192306
building_energy,43,gaugeformer_v13,1,0.041382708945610094
building_energy,43,gaugeformer_v13,2,0.06596215748122007
building_energy,43,gaugeformer_v13,3,0.09088843628546756
building_energy,43,gaugeformer_v13,4,0.11294918012394753
