backbone,method,regime,seed,system,sd_nmae,sd_nrmse
gtm,gtm_persistence,joint,17,building_energy,0.28397993659446097,0.46773982408574116
gtm,gtm_persistence,joint,17,hydraulic,0.10601000329040625,0.20605915824834942
gtm,gtm_persistence,joint,17,metropt,0.5421937055113201,1.323834488228989
gtm,gtm_persistence,joint,17,pmsm,0.04548985107476749,0.12768617936181392
gtm,gtm_persistence,joint,17,steel_industry,0.46722325462484815,0.8821150582384071
gtm,gtm_persistence,joint,29,building_energy,0.28397993659446097,0.46773982408574116
gtm,gtm_persistence,joint,29,hydraulic,0.10601000329040625,0.20605915824834942
gtm,gtm_persistence,joint,29,metropt,0.5421937055113201,1.323834488228989
gtm,gtm_persistence,joint,29,pmsm,0.04548985107476749,0.12768617936181392
gtm,gtm_persistence,joint,29,steel_industry,0.46722325462484815,0.8821150582384071
gtm,gtm_persistence,joint,43,building_energy,0.28397993659446097,0.46773982408574116
gtm,gtm_persistence,joint,43,hydraulic,0.10601000329040625,0.20605915824834942
gtm,gtm_persistence,joint,43,metropt,0.5421937055113201,1.323834488228989
gtm,gtm_persistence,joint,43,pmsm,0.04548985107476749,0.12768617936181392
gtm,gtm_persistence,joint,43,steel_industry,0.46722325462484815,0.8821150582384071
gtm,gtm_persistence,joint,71,building_energy,0.28397993659446097,0.46773982408574116
gtm,gtm_persistence,joint,71,hydraulic,0.10601000329040625,0.20605915824834942
gtm,gtm_persistence,joint,71,metropt,0.5421937055113201,1.323834488228989
gtm,gtm_persistence,joint,71,pmsm,0.04548985107476749,0.12768617936181392
