method,backbone,system,batch_size,median_ms,mean_ms,p95_ms,windows_per_second,resident_allocated_mib,total_peak_allocated_mib,incremental_peak_allocated_mib,peak_reserved_mib,backbone_calls_per_window,gpu_uuid,exclusive_checks_before_and_after_every_measurement
gaugeformer_v13,moirai,metropt,8,101.42225649906322,103.32274549873546,110.97909734235147,77.42728826440167,62.18603515625,375.29296875,313.10693359375,1104.0,5,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
moirai,moirai,pmsm,1,22.301937511656433,22.360640447004698,24.94895829586312,44.72143820612053,62.1494140625,100.4892578125,38.33984375,1104.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
gaugeformer_v13,moirai,pmsm,1,112.99509753007442,112.08741084847134,115.85613735951483,8.921608523475303,62.1494140625,100.4892578125,38.33984375,1104.0,5,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
moirai,moirai,pmsm,8,53.390644025057554,60.717356007080525,84.68015081016347,131.7580429402605,62.18017578125,368.86669921875,306.6865234375,1104.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
gaugeformer_v13,moirai,pmsm,8,100.0979605014436,102.31408920662943,112.16075546981303,78.19059977012081,62.18017578125,368.86669921875,306.6865234375,1104.0,5,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
moirai,moirai,steel_industry,1,22.508930502226576,23.08857170282863,26.105421251850206,43.31147083808081,62.1474609375,81.29248046875,19.14501953125,1104.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
gaugeformer_v13,moirai,steel_industry,1,113.43834453145973,113.93364605610259,120.34469403442927,8.777038518609203,62.1474609375,81.29248046875,19.14501953125,1104.0,5,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
moirai,moirai,steel_industry,8,34.032018011203036,34.23931225843262,35.31078001251444,233.64955287703603,62.16259765625,209.12353515625,146.9609375,1104.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
gaugeformer_v13,moirai,steel_industry,8,122.56906999391504,120.68864859757014,132.52395086165052,66.28626712588003,62.16259765625,209.12353515625,146.9609375,1104.0,5,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
tefn,tefn,building_energy,1,2.8082829958293587,2.870500148856081,3.713953201076947,348.37134580832844,8.18212890625,8.2763671875,0.09423828125,22.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
tefn,tefn,building_energy,8,3.3307624980807304,3.2524448964977637,4.020914071588778,2459.688097595261,8.24951171875,8.974609375,0.72509765625,22.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
tefn,tefn,hydraulic,1,3.8618760008830577,3.8592838041950017,5.136883194791154,259.1154345562797,8.1787109375,8.26953125,0.0908203125,22.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
tefn,tefn,hydraulic,8,3.6350105074234307,3.5289764462504536,4.472563072340563,2266.946272339114,8.22314453125,8.921875,0.69873046875,22.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
tefn,tefn,metropt,1,3.323575481772423,3.238047449849546,4.0247531520435595,308.82808713827353,8.177734375,8.267578125,0.08984375,22.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
tefn,tefn,metropt,8,3.563352016499266,3.3461660030297935,4.269460297655314,2390.795911725952,8.21435546875,8.904296875,0.68994140625,22.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
tefn,tefn,pmsm,1,3.5406509996391833,3.6069307971047238,5.093951878370717,277.244021649292,8.1767578125,8.265625,0.0888671875,22.0,1,GPU-d7491bec-63e8-f90e-eb2e-22f5a3c72eee,True
