regime,system,seed,block,elements_per_channel,gaugeformer_v13,moirai,gain
few1,building_energy,71,building_energy:segment-0:day-121,144,0.19472921082488395,0.2046236871581512,0.00989447633326726
few1,building_energy,71,building_energy:segment-0:day-122,144,0.31637327516503466,0.3282481870559452,0.011874911890910556
few1,building_energy,71,building_energy:segment-0:day-123,144,0.26379351824986885,0.2594967239318851,-0.004296794317983743
few1,building_energy,71,building_energy:segment-0:day-124,144,0.23174053846615256,0.2398792681238504,0.008138729657697852
few1,building_energy,71,building_energy:segment-0:day-125,144,0.25319667042088834,0.2809112358811505,0.027714565460262186
few1,building_energy,71,building_energy:segment-0:day-126,144,0.2345428023804942,0.2290917919163421,-0.005451010464152084
few1,building_energy,71,building_energy:segment-0:day-127,144,0.2822108015970304,0.28208611543663,-0.00012468616040040015
few1,building_energy,71,building_energy:segment-0:day-128,144,0.20177980570856763,0.19974831229428688,-0.002031493414280744
few1,building_energy,71,building_energy:segment-0:day-129,144,0.23709731522626643,0.24885575113830002,0.011758435912033599
few1,building_energy,71,building_energy:segment-0:day-130,144,0.22975272661308788,0.22911926210228517,-0.0006334645108027059
few1,building_energy,71,building_energy:segment-0:day-131,144,0.16829734570359128,0.167102305261637,-0.001195040441954287
few1,building_energy,71,building_energy:segment-0:day-132,144,0.20412332356741023,0.22216891348478235,0.018045589917372123
few1,building_energy,71,building_energy:segment-0:day-133,144,0.2215796455439751,0.22826626004625186,0.006686614502276755
few1,building_energy,71,building_energy:segment-0:day-134,144,0.29215170287432274,0.30154294030538253,0.009391237431059796
few1,building_energy,71,building_energy:segment-0:day-135,144,0.27571306735292556,0.2684514472527406,-0.00726162010018494
few1,building_energy,71,building_energy:segment-0:day-136,120,0.3028984940606994,0.30214101425780765,-0.0007574798028917584
few1,building_energy,101,building_energy:segment-0:day-110,120,0.25452660952954365,0.25452660952954365,0.0
few1,building_energy,101,building_energy:segment-0:day-111,144,0.2916340417514422,0.2916340417514422,0.0
few1,building_energy,101,building_energy:segment-0:day-112,144,0.23575438503375545,0.23764809948716364,0.0018937144534081907
few1,building_energy,101,building_energy:segment-0:day-113,144,0.28549351021159786,0.27555114372881595,-0.009942366482781906
few1,building_energy,101,building_energy:segment-0:day-114,144,0.23661986862883563,0.2316541688018799,-0.004965699826955744
few1,building_energy,101,building_energy:segment-0:day-115,144,0.26047795715622973,0.25339406785451596,-0.007083889301713775
few1,building_energy,101,building_energy:segment-0:day-116,144,0.2676644740122345,0.2709518224043221,0.003287348392087608
few1,building_energy,101,building_energy:segment-0:day-117,144,0.254867309760537,0.2660629281506925,0.011195618390155482
few1,building_energy,101,building_energy:segment-0:day-118,144,0.22655511818505805,0.2176435816244998,-0.008911536560558264
few1,building_energy,101,building_energy:segment-0:day-119,144,0.21120026980813805,0.22068641333329678,0.009486143525158724
few1,building_energy,101,building_energy:segment-0:day-120,144,0.2549874997599528,0.2613277953648927,0.006340295604939927
few1,building_energy,101,building_energy:segment-0:day-121,144,0.19517826993099247,0.20436883779367426,0.009190567862681798
few1,building_energy,101,building_energy:segment-0:day-122,144,0.3245693478505342,0.32977415855642656,0.005204810705892349
few1,building_energy,101,building_energy:segment-0:day-123,144,0.26369456177099343,0.2595324640990176,-0.00416209767197584
